2023-04-23 21:15:42.137 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-23 21:15:42.273 [main] INFO  top.wuml.ServerApplication - Starting ServerApplication using Java 17.0.4.1 with PID 4744 (D:\ideaWorkspace\api-boot\api-server\target\classes started by 65648 in D:\ideaWorkspace\api-boot)
2023-04-23 21:15:42.275 [main] INFO  top.wuml.ServerApplication - The following 1 profile is active: "dev"
2023-04-23 21:15:45.013 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-23 21:15:45.017 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-23 21:15:45.133 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 50 ms. Found 0 Redis repository interfaces.
2023-04-23 21:15:46.927 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-23 21:15:46.943 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-23 21:15:46.944 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-23 21:15:46.944 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-23 21:15:47.100 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-23 21:15:47.103 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4672 ms
2023-04-23 21:15:51.782 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3573e19d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5c1dd18, org.springframework.security.web.context.SecurityContextHolderFilter@6f655dbd, org.springframework.security.web.header.HeaderWriterFilter@145fe8ab, org.springframework.security.web.authentication.logout.LogoutFilter@41e7a544, top.wuml.security.filter.AuthenticationTokenFilter@7f51f588, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7ac1b6c0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3a751535, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2a6dbb7c, org.springframework.security.web.session.SessionManagementFilter@32513dea, org.springframework.security.web.access.ExceptionTranslationFilter@2ef913a4, org.springframework.security.web.access.intercept.AuthorizationFilter@2375a976]
2023-04-23 21:15:52.939 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-23 21:15:53.023 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-23 21:15:53.041 [main] INFO  top.wuml.ServerApplication - Started ServerApplication in 12.221 seconds (process running for 15.241)
2023-04-23 21:16:09.091 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-23 21:16:09.091 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-23 21:16:09.093 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-23 21:18:03.276 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-23 21:18:03.325 [main] INFO  top.wuml.ServerApplication - Starting ServerApplication using Java 17.0.4.1 with PID 7936 (D:\ideaWorkspace\api-boot\api-server\target\classes started by 65648 in D:\ideaWorkspace\api-boot)
2023-04-23 21:18:03.326 [main] INFO  top.wuml.ServerApplication - The following 1 profile is active: "dev"
2023-04-23 21:18:04.474 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-23 21:18:04.476 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-23 21:18:04.536 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33 ms. Found 0 Redis repository interfaces.
2023-04-23 21:18:05.286 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-23 21:18:05.294 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-23 21:18:05.296 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-23 21:18:05.297 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-23 21:18:05.406 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-23 21:18:05.406 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2032 ms
2023-04-23 21:18:08.632 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@14b26e90, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@11309dd4, org.springframework.security.web.context.SecurityContextHolderFilter@727956bb, org.springframework.security.web.header.HeaderWriterFilter@6f655dbd, org.springframework.security.web.authentication.logout.LogoutFilter@5178345d, top.wuml.security.filter.AuthenticationTokenFilter@53cddaf8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@ad5cffa, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@237aa0c7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4f4d05b3, org.springframework.security.web.session.SessionManagementFilter@1fe05fff, org.springframework.security.web.access.ExceptionTranslationFilter@5d0e703a, org.springframework.security.web.access.intercept.AuthorizationFilter@7eefaca0]
2023-04-23 21:18:09.343 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-23 21:18:09.379 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-23 21:18:09.399 [main] INFO  top.wuml.ServerApplication - Started ServerApplication in 6.571 seconds (process running for 8.844)
2023-04-23 21:18:09.656 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-23 21:18:09.657 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-23 21:18:09.662 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2023-04-23 21:18:11.179 [http-nio-8080-exec-24] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 245 ms
2023-04-23 21:18:59.554 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-23 21:18:59.596 [main] INFO  top.wuml.ServerApplication - Starting ServerApplication using Java 17.0.4.1 with PID 19680 (D:\ideaWorkspace\api-boot\api-server\target\classes started by 65648 in D:\ideaWorkspace\api-boot)
2023-04-23 21:18:59.597 [main] INFO  top.wuml.ServerApplication - The following 1 profile is active: "dev"
2023-04-23 21:19:01.348 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-23 21:19:01.351 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-23 21:19:01.463 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 72 ms. Found 0 Redis repository interfaces.
2023-04-23 21:19:02.731 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-23 21:19:02.741 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-23 21:19:02.743 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-23 21:19:02.744 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-23 21:19:02.884 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-23 21:19:02.885 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3230 ms
